,county,HOR,state,Lat,Long,Lng
1923,Forsyth,62.5, NC,36.1200003,,-80.1875065
1924,Franklin,73.1, NC,35.1823171,,-83.3815429
1925,Gaston,65.4, NC,36.5004281,,-77.6449804
1926,Gates,80.4, NC,36.4202077,,-76.6874701
1927,Graham,81.8, NC,36.0690258,,-79.4005756
1928,Granville,73.4, NC,36.2799451,,-78.6114999
1929,Greene,69.3, NC,35.5013936,,-77.69941969999999
1930,Guilford,58.9, NC,36.0899873,,-79.8296743
1931,Halifax,63.1, NC,36.328486,,-77.5894199
1932,Harnett,65.1, NC,35.35786480000001,,-78.8835548
1933,Haywood,71.7, NC,35.624394,,-82.99316069999999
1934,Henderson,72.3, NC,36.3294305,,-78.39920099999999
1935,Hertford,67.2, NC,36.1901579,,-76.4660519
1936,Hoke,67.0, NC,35.0432488,,-79.24511489999999
1937,Hyde,76.3, NC,35.3777712,,-76.17837390000001
1938,Iredell,72.0, NC,35.8310501,,-80.89865019999999
1939,Jackson,65.1, NC,36.3895976,,-77.4213614
1940,Johnston,71.7, NC,35.4403514,,-78.3842227
1941,Jones,72.5, NC,35.0306293,,-77.3324425
1942,Lee,67.3, NC,35.4693744,,-79.1548533
1943,Lenoir,60.1, NC,35.9140196,,-81.5389849
1944,Lincoln,76.5, NC,35.4637028,,-81.20781640000001
1945,McDowell,71.3, NC,35.6984405,,-82.08429009999999
1946,Macon,73.7, NC,36.4387585,,-78.0838809
1947,Madison,74.6, NC,36.385415,,-79.959485
1948,Martin,68.9, NC,35.8733053,,-77.1485163
1949,Mecklenburg,56.7, NC,35.2632655,,-80.8543847
1950,Mitchell,79.5, NC,36.0277763,,-82.1496049
1951,Montgomery,70.0, NC,35.3587922,,-79.87448359999999
1952,Moore,74.4, NC,35.3674493,,-79.4703885
1953,Nash,65.3, NC,35.9597948,,-77.973865
1954,New Hanover,57.4, NC,34.2154913,,-77.88245959999999
1955,Northampton,69.2, NC,36.4159635,,-77.4242972
1956,Onslow,52.5, NC,34.6540094,,-77.4701972
1957,Orange,61.8, NC,36.0263022,,-79.1096901
1958,Pamlico,74.9, NC,35.1337865,,-76.6874701
1959,Pasquotank,60.5, NC,36.2927068,,-76.317414
1960,Pender,79.1, NC,34.5170729,,-77.8367282
1961,Perquimans,72.8, NC,36.1329763,,-76.4100267
1962,Person,72.0, NC,36.3528221,,-78.9288242
1963,Pitt,52.3, NC,35.5589221,,-77.4242972
1964,Polk,73.1, NC,35.2686842,,-82.1713632
1965,Randolph,71.5, NC,35.7449531,,-79.8296743
1966,Richmond,65.5, NC,35.003045,,-79.7848422
1967,Robeson,64.7, NC,34.6383858,,-79.1096901
1968,Rockingham,68.4, NC,34.9393201,,-79.7739457
1969,Rowan,68.1, NC,35.6303455,,-80.54384499999999
1970,Rutherford,71.5, NC,35.4258737,,-81.909826
1971,Sampson,69.6, NC,34.9197548,,-78.3842227
1972,Scotland,62.0, NC,34.8451203,,-79.4703885
1973,Stanly,72.5, NC,35.30145540000001,,-80.23213129999999
1974,Stokes,77.6, NC,35.7160177,,-77.26580969999999
1975,Surry,73.0, NC,36.3743453,,-80.6770787
1976,Swain,71.8, NC,35.4328955,,-83.46435509999999
1977,Transylvania,75.9, NC,35.2190534,,-82.7778579
1978,Tyrrell,75.6, NC,35.8925537,,-76.17837390000001
1979,Union,80.5, NC,34.9338651,,-80.54384499999999
1980,Vance,58.6, NC,36.3479057,,-78.4297187
1981,Wake,64.1, NC,35.8031909,,-78.5660852
1982,Warren,72.0, NC,36.4352131,,-78.0195387
1983,Washington,60.6, NC,35.54655169999999,,-77.0521742
1984,Watauga,58.9, NC,36.1941825,,-81.73494199999999
1985,Wayne,60.9, NC,35.3565499,,-77.973865
1986,Wilkes,74.5, NC,36.202858,,-81.2518833
1987,Wilson,60.5, NC,35.7212689,,-77.9155395
1988,Yadkin,75.9, NC,36.2023597,,-80.6770787
1989,Yancey,73.3, NC,35.888897,,-82.34518899999999
1990,Adams,73.1, ND,48.4213852,,-98.0789893
1991,Barnes,67.0, ND,46.926176,,-98.12223379999999
1992,Benson,62.8, ND,48.088634,,-99.4648442
1993,Billings,73.8, ND,47.0560305,,-103.3906121
1994,Bottineau,75.7, ND,48.8272301,,-100.4456984
1995,Bowman,74.2, ND,46.1830618,,-103.3949061
1996,Burke,74.4, ND,48.7704377,,-102.4633691
1997,Burleigh,68.9, ND,47.0448552,,-100.5049676
1998,Cass,52.2, ND,47.071168,,-97.12155790000001
1999,Cavalier,82.0, ND,48.7938813,,-97.6223098
2000,Dickey,70.1, ND,46.5369203,,-98.4678716
2001,Divide,77.7, ND,48.80561540000001,,-103.582951
2002,Dunn,77.9, ND,47.2121625,,-102.72602
2003,Eddy,70.8, ND,47.6963964,,-98.88718159999999
2004,Emmons,84.5, ND,46.2061318,,-100.2953039
2005,Foster,74.3, ND,47.4991972,,-98.874618
2006,Golden Valley,67.2, ND,47.2908418,,-102.0646172
2007,Grand Forks,49.1, ND,47.9252568,,-97.0328547
2008,Grant,84.9, ND,46.3951108,,-101.5535564
2009,Griggs,71.5, ND,47.3876664,,-98.25542949999999
2010,Hettinger,82.3, ND,46.0013946,,-102.6368239
2011,Kidder,76.0, ND,46.8766313,,-99.7506856
2012,LaMoure,77.2, ND,46.3571915,,-98.2945434
2013,Logan,85.2, ND,48.1483433,,-101.1537688
2014,McHenry,83.8, ND,47.5763012,,-98.5917473
2015,McIntosh,78.4, ND,46.054323,,-99.376592
2016,McKenzie,58.4, ND,46.8236143,,-100.4152368
2017,McLean,81.2, ND,47.6185079,,-101.131122
2018,Mercer,82.2, ND,47.4769315,,-100.7433009
2019,Morton,72.5, ND,46.6683872,,-101.1621736
2020,Mountrail,69.7, ND,48.2169859,,-102.326433
2021,Nelson,75.5, ND,47.9519514,,-98.1259898
2022,Oliver,87.1, ND,47.1217918,,-101.342985
2023,Pembina,77.1, ND,48.9663765,,-97.2436761
2024,Pierce,71.9, ND,48.0379438,,-100.0575335
2025,Ramsey,60.6, ND,48.3076017,,-98.7287191
2026,Ransom,69.8, ND,46.4937656,,-97.6257919
2027,Renville,79.3, ND,48.8582263,,-101.6334298
2028,Richland,71.0, ND,46.1546779,,-96.89586560000001
2029,Rolette,69.0, ND,48.66083279999999,,-99.841533
2030,Sargent,74.4, ND,46.1089195,,-97.61524179999999
2031,Sheridan,78.5, ND,47.5391971,,-100.2844016
2032,Sioux,44.2, ND,46.0512004,,-101.1175392
2033,Slope,79.6, ND,46.4129398,,-103.5021012
2034,Stark,66.5, ND,46.8250004,,-102.6554727
2035,Steele,84.6, ND,46.85470650000001,,-99.91593809999999
2036,Stutsman,65.0, ND,46.939184,,-98.99091390000001
2037,Towner,78.7, ND,48.3458325,,-100.4054123
2038,Traill,73.5, ND,47.4636775,,-97.1256368
2039,Walsh,74.7, ND,48.3777874,,-97.75288719999999
2040,Ward,59.6, ND,48.21474509999999,,-101.5805256
2041,Wells,80.1, ND,47.5217126,,-99.57518449999999
2042,Williams,61.8, ND,48.432044,,-103.2923954
2043,Adams,68.4, OH,38.8907822,,-83.5070203
2044,Allen,66.1, OH,40.769946,,-84.14351359999999
2045,Ashland,72.6, OH,40.8686675,,-82.3182178
2046,Ashtabula,70.3, OH,41.8650534,,-80.7898089
2047,Athens,56.8, OH,39.3292396,,-82.1012554
2048,Auglaize,75.8, OH,40.5781556,,-84.3542049
2049,Belmont,75.9, OH,40.0292374,,-81.0389883
2050,Brown,74.3, OH,38.9092089,,-83.8473015
2051,Butler,68.4, OH,40.5883933,,-82.4248862
2052,Carroll,80.0, OH,39.7989528,,-82.7010016
2053,Champaign,72.7, OH,40.10258169999999,,-83.804868
2054,Clark,65.6, OH,39.8912092,,-83.67739279999999
2055,Clermont,74.3, OH,39.0928449,,-84.1857115
2056,Clinton,65.1, OH,40.9267224,,-81.63040219999999
2057,Columbiana,73.2, OH,40.88839309999999,,-80.69396429999999
2058,Coshocton,75.3, OH,40.2720151,,-81.8595756
2059,Crawford,69.3, OH,40.8268068,,-82.99316069999999
2060,Cuyahoga,58.8, OH,41.433923,,-81.67582
2061,Darke,72.5, OH,40.1056572,,-84.68974949999999
2062,Defiance,76.2, OH,41.2844933,,-84.3557802
2063,Delaware,81.2, OH,40.2986724,,-83.067965
2064,Erie,69.2, OH,41.4349882,,-82.4752757
2065,Fairfield,71.6, OH,39.3454673,,-84.5603187
2066,Fayette,62.1, OH,41.6733839,,-84.3268925
2067,Franklin,53.6, OH,39.5589474,,-84.30410739999999
2068,Fulton,77.2, OH,40.4625607,,-82.8287895
2069,Gallia,75.4, OH,38.8619254,,-82.34518899999999
2070,Geauga,85.8, OH,41.4641521,,-81.20781640000001
2071,Greene,66.9, OH,39.697399,,-83.8897057
2072,Guernsey,71.6, OH,40.1817377,,-81.592343
2073,Hamilton,57.7, OH,39.3995008,,-84.5613355
2074,Hancock,69.3, OH,41.0273131,,-83.67739279999999
2075,Hardin,70.3, OH,40.704961,,-83.67739279999999
2076,Harrison,79.1, OH,39.2536967,,-84.7915999
2077,Henry,78.4, OH,41.3659897,,-84.01674229999999
2078,Highland,70.2, OH,39.3445075,,-83.5974203
2079,Hocking,74.7, OH,39.4909358,,-82.4752757
2080,Holmes,76.7, OH,40.5540928,,-81.909826
2081,Huron,69.9, OH,41.3950489,,-82.55517329999999
2082,Jackson,68.5, OH,39.0520169,,-82.6365536
2083,Jefferson,69.0, OH,41.7386662,,-80.7698066
2084,Knox,71.3, OH,40.459564,,-82.3017728
2085,Lake,74.7, OH,41.981532,,-81.2518833
2086,Lawrence,71.8, OH,40.873012,,-81.5815776
2087,Licking,72.4, OH,40.1460895,,-82.4752757
2088,Logan,73.8, OH,39.5400672,,-82.4070986
2089,Lorain,71.4, OH,41.452819,,-82.1823746
2090,Lucas,60.0, OH,40.7050579,,-82.4182204
2091,Madison,71.3, OH,41.7711633,,-81.049819
2092,Mahoning,68.7, OH,40.9871753,,-80.7214417
2093,Marion,68.4, OH,40.5886699,,-83.1285242
2094,Medina,79.9, OH,41.143245,,-81.8552196
2095,Meigs,78.1, OH,39.1659099,,-81.8973589
2096,Mercer,77.4, OH,40.59405479999999,,-84.68974949999999
2097,Miami,69.7, OH,39.5105334,,-84.73087679999999
2098,Monroe,78.2, OH,39.44033599999999,,-84.3621634
2099,Montgomery,61.2, OH,39.2281143,,-84.35410619999999
2100,Morgan,78.1, OH,39.6521907,,-81.8224362
2101,Morrow,82.3, OH,39.3545046,,-84.1271568
2102,Muskingum,67.3, OH,39.9478393,,-81.9534815
2103,Noble,84.3, OH,39.7465639,,-81.42789839999999
2104,Ottawa,78.2, OH,41.0192185,,-84.0471666
2105,Paulding,76.9, OH,41.1381051,,-84.5805082
2106,Perry,73.7, OH,41.7603259,,-81.1409322
2107,Pickaway,73.8, OH,39.687828,,-82.99316069999999
2108,Pike,68.7, OH,39.0713471,,-83.03613759999999
2109,Portage,68.7, OH,41.3267189,,-83.6507668
2110,Preble,76.3, OH,39.7778251,,-84.68974949999999
2111,Putnam,80.3, OH,41.0540759,,-84.1857115
2112,Richland,67.7, OH,40.7566723,,-82.5185837
2113,Ross,70.4, OH,39.3439085,,-84.6688348
2114,Sandusky,71.4, OH,41.4561754,,-82.71168209999999
2115,Scioto,67.8, OH,38.861065,,-82.99316069999999
2116,Seneca,72.2, OH,41.1585179,,-83.1649001
2117,Shelby,70.8, OH,40.88144519999999,,-82.6618424
2118,Stark,68.4, OH,40.8684676,,-81.2518833
2119,Summit,65.6, OH,41.0918991,,-81.5596427
2120,Trumbull,70.6, OH,41.3064984,,-80.7214417
2121,Tuscarawas,70.7, OH,40.3947887,,-81.4070577
2122,Union,78.1, OH,39.8978327,,-84.3063343
2123,Van Wert,74.8, OH,40.8694927,,-84.58412229999999
2124,Vinton,73.4, OH,38.9764655,,-82.3415421
2125,Warren,77.6, OH,41.2375569,,-80.81841659999999
2126,Washington,73.9, OH,39.5373688,,-83.437579
2127,Wayne,73.0, OH,41.3014415,,-83.4735393
2128,Williams,76.4, OH,41.55076020000001,,-84.5222189
2129,Wood,65.7, OH,41.34784579999999,,-83.67739279999999
2130,Wyandot,72.3, OH,40.8471492,,-83.33618799999999
2131,Adair,69.8, OK,36.4367575,,-95.2713584
2132,Alfalfa,76.0, OK,35.218889,,-98.606944
2133,Atoka,73.2, OK,34.3859257,,-96.12832519999999
2134,Beaver,78.1, OK,36.81613710000001,,-100.5198713
2135,Beckham,65.6, OK,35.2687266,,-99.634135
2136,Blaine,76.1, OK,35.8825489,,-98.3964938
2137,Bryan,63.0, OK,33.902127,,-96.3226072
2138,Caddo,70.4, OK,34.1267595,,-96.26332289999999
2139,Canadian,76.3, OK,35.1773201,,-95.65526589999999
2140,Carter,69.2, OK,35.2189409,,-99.50564650000001
2141,Cherokee,66.5, OK,36.7544746,,-98.3567403
2142,Choctaw,68.6, OK,35.4975625,,-97.2689212
2143,Cimarron,72.9, OK,36.7936335,,-102.6216211
2144,Cleveland,64.5, OK,36.3100688,,-96.4641886
2145,Coal,71.9, OK,34.568577,,-96.2800864
2146,Comanche,53.7, OK,34.3689747,,-97.96392399999999
2147,Cotton,78.3, OK,34.309094,,-98.3964938
2148,Craig,73.5, OK,36.7571907,,-95.1432068
2149,Creek,74.1, OK,35.8362494,,-96.3226072
2150,Custer,59.3, OK,35.6710818,,-98.92453429999999
2151,Delaware,76.0, OK,36.7786985,,-95.6394227
2152,Dewey,73.1, OK,36.7959193,,-95.9355387
2153,Ellis,73.2, OK,36.2920072,,-99.8124935
2154,Garfield,65.4, OK,36.4361392,,-97.87216
2155,Garvin,67.6, OK,33.9539972,,-94.9424443
2156,Grady,77.3, OK,34.0203753,,-97.66558239999999
2157,Grant,75.8, OK,33.9430894,,-95.5138162
2158,Greer,72.5, OK,34.9338651,,-99.456155
2159,Harmon,72.4, OK,36.1447648,,-99.5603898
2160,Harper,80.6, OK,36.8203755,,-99.634135
2161,Haskell,74.6, OK,35.8203784,,-95.674149
2162,Hughes,74.8, OK,35.1380279,,-96.3226072
2163,Jackson,57.3, OK,34.5834576,,-99.456155
2164,Jefferson,71.9, OK,36.7205853,,-97.79060989999999
2165,Johnston,71.2, OK,34.2855117,,-96.62106109999999
2166,Kay,68.9, OK,36.8234478,,-97.179026
2167,Kingfisher,80.1, OK,35.861432,,-97.9317203
2168,Kiowa,69.2, OK,34.7206515,,-95.89915859999999
2169,Latimer,68.1, OK,34.835035,,-95.3102505
2170,Le Flore,73.2, OK,34.8984359,,-94.9818513
2171,Lincoln,79.2, OK,35.6342646,,-96.83509989999999
2172,Logan,79.5, OK,35.9404623,,-97.5247243
2173,Love,78.4, OK,33.985839,,-97.2221421
2174,McClain,78.2, OK,35.0282316,,-97.4814163
2175,McCurtain,69.7, OK,35.1498196,,-94.97078909999999
2176,McIntosh,77.1, OK,35.3466151,,-95.6457951
2177,Major,77.8, OK,36.3479671,,-98.5281613
2178,Marshall,75.5, OK,36.1539272,,-97.6256045
