,county,counts
1043,"Allen, KS",1
1044,"Lancaster, SC",1
1045,"Henderson, TN",1
1046,"Spencer, IN",1
1047,"Fayette, WV",1
1048,"Elko, NV",1
1049,"Lafourche, LA",1
1050,"Winnebago, IA",1
1051,"Dade, GA",1
1052,"Mason, KY",1
1053,"Union, IA",1
1054,"Marion, MO",1
1055,"Williams, ND",1
1056,"Clallam, WA",1
1057,"Pendleton, WV",1
1058,"Randolph, AL",1
1059,"Marion, KS",1
1060,"Warren, IA",1
1061,"Acadia, LA",1
1062,"Adair, OK",1
1063,"Washington, OK",1
1064,"Boone, AR",1
1065,"Marion, IA",1
1066,"Kershaw, SC",1
1067,"Rockdale, GA",1
1068,"Barren, KY",1
1069,"Santa Rosa, FL",1
1070,"Alamosa, CO",1
1071,"Koochiching, MN",1
1072,"Drew, AR",1
1073,"Wayne, NE",1
1074,"Jasper, TX",1
1075,"Lewis, MO",1
1076,"Washington, IA",1
1077,"Nacogdoches, TX",1
1078,"Adams, MS",1
1079,"Ford, KS",1
1080,"Cullman, AL",1
1081,"Baraga, MI",1
1082,"Letcher, KY",1
1083,"Kemper, MS",1
1084,"Scott, TN",1
1085,"Henry, MO",1
1086,"Waldo, ME",1
1087,"Labette, KS",1
1088,"Green, WI",1
1089,"Breathitt, KY",1
1090,"Gadsden, FL",1
1091,"Jefferson, WA",1
1092,"Mahnomen, MN",1
1093,"Clare, MI",1
1094,"York, NE",1
1095,"Haralson, GA",1
1096,"Box Elder, UT",1
1097,"Johnson, AR",1
1098,"Umatilla, OR",1
1099,"Uintah, UT",1
1100,"Chester, TN",1
1101,"Hutchinson, TX",1
1102,"Washington, MS",1
1103,"Culpeper, VA",1
1104,"Rockingham, NC",1
1105,"Grundy, MO",1
1106,"Coryell, TX",1
1107,"Yates, NY",1
1108,"Wythe, VA",1
1109,"Jackson, WV",1
1110,"Scurry, TX",1
1111,"Charlottesville, VA",1
1112,"Major, OK",1
1113,"Island, WA",1
1114,"Montcalm, MI",1
1115,"Jasper, IN",1
1116,"Wasatch, UT",1
1117,"Sumter, FL",1
1118,"Roberts, SD",1
1119,"Branch, MI",1
1120,"Sampson, NC",1
1121,"Panola, TX",1
1122,"Alleghany, VA",1
1123,"Lafayette, MS",1
1124,"Coffee, GA",1
1125,"Los Alamos, NM",1
1126,"Miller, AR",1
1127,"Erath, TX",1
1128,"Lenoir, NC",1
1129,"Alpena, MI",1
1130,"Taylor, KY",1
1131,"Columbia, NY",1
1132,"Orange, TX",1
1133,"Carver, MN",1
1134,"Whitley, KY",1
1135,"Jefferson, WI",1
1136,"Mountrail, ND",1
1137,"Adair, KY",1
1138,"Jackson, AL",1
1139,"Hall, NE",1
1140,"Brooke, WV",1
1141,"Harlan, KY",1
1142,"Ravalli, MT",1
1143,"Marinette, WI",1
1144,"Neosho, KS",1
1145,"Hardy, WV",1
1146,"Howard, IA",1
1147,"Lauderdale, MS",1
1148,"Texas, MO",1
1149,"Brown, OH",1
1150,"Henry, VA",1
1151,"Martin, FL",1
1152,"Lincoln, NM",1
1153,"Moore, NC",1
1154,"Gratiot, MI",1
1155,"Wayne, NY",1
1156,"Clinton, MI",1
1157,"Warren, IL",1
1158,"Atoka, OK",1
1159,"Richmond, NC",1
1160,"Bond, IL",1
1161,"St. Joseph, MI",1
1162,"Delaware, NY",1
1163,"San Lorenzo Municipio, PR",1
1164,"Logan, CO",1
1165,"Frontier, NE",1
1166,"Chisago, MN",1
1167,"Monroe, TN",1
1168,"White, GA",1
1169,"Logan, OK",1
1170,"Lamoille, VT",1
1171,"Pittsburg, OK",1
1172,"Rockingham, VA",1
1173,"Dallas, IA",1
1174,"Fremont, WY",1
1175,"Madison, OH",1
1176,"Ramsey, ND",1
1177,"Edgecombe, NC",1
1178,"Steuben, NY",1
1179,"Lumpkin, GA",1
1180,"Choctaw, OK",1
1181,"Mercer, OH",1
1182,"Lawrence, SD",1
1183,"Yuba, CA",1
1184,"Whitman, WA",1
1185,"Mitchell, KS",1
1186,"Leslie, KY",1
1187,"Pickaway, OH",1
1188,"Towns, GA",1
1189,"Madison, NE",1
1190,"Lowndes, MS",1
1191,"Park, WY",1
1192,"Washburn, WI",1
1193,"Lee, AL",1
1194,"St. Charles, LA",1
1195,"Copiah, MS",1
1196,"Hill, TX",1
1197,"Knox, KY",1
1198,"Defiance, OH",1
1199,"Wabash, IL",1
1200,"Carter, KY",1
1201,"Kaufman, TX",1
1202,"Sumter, AL",1
1203,"Randolph, NC",1
1204,"Kootenai, ID",1
1205,"Jefferson, TN",1
1206,"Lawrence, TN",1
1207,"Des Moines, IA",1
1208,"Burke, NC",1
1209,"Dinwiddie, VA",1
1210,"Brunswick, VA",1
1211,"Taylor, FL",1
1212,"Phillips, AR",1
1213,"Izard, AR",1
1214,"Kent, MD",1
1215,"Colbert, AL",1
1216,"Frederick, VA",1
1217,"Jersey, IL",1
1218,"Bell, KY",1
1219,"Fredericksburg, VA",1
1220,"Bradford, PA",1
1221,"Hardin, TN",1
1222,"Franklin, KY",1
1223,"Kendall, IL",1
1224,"Henderson, KY",1
1225,"Marshall, MS",1
1226,"Coffee, AL",1
1227,"Suffolk, VA",1
1228,"Oneida, WI",1
1229,"Alcorn, MS",1
1230,"Western District, AS",1
1231,"Charlotte, FL",1
1232,"Cortland, NY",1
1233,"Colonial Heights, VA",1
1234,"Stone, MS",1
1235,"Bingham, ID",1
1236,"Leflore, MS",1
1237,"Doniphan, KS",1
1238,"Pontotoc, MS",1
1239,"Jefferson, IL",1
1240,"Wilbarger, TX",1
1241,"Emmet, MI",1
1242,"Pennington, MN",1
1243,"Hockley, TX",1
1244,"Lewis, TN",1
1245,"Otero, CO",1
1246,"Custer, MT",1
1247,"Cassia, ID",1
1248,"Williamsburg, SC",1
1249,"Sussex, NJ",1
1250,"Kandiyohi, MN",1
1251,"Lassen, CA",1
1252,"Trujillo Alto Municipio, PR",1
1253,"Natrona, WY",1
1254,"Highlands, FL",1
1255,"Blount, TN",1
1256,"Dorchester, SC",1
1257,"Camden, MO",1
1258,"Barrow, GA",1
1259,"Pike, MO",1
1260,"Chesterfield, SC",1
1261,"Hardin, IA",1
1262,"Franklin, IL",1
1263,"Becker, MN",1
1264,"Houston, GA",1
1265,"Iberia, LA",1
1266,"Emanuel, GA",1
1267,"N, FM",1
1268,"Hernando, FL",1
1269,"Yellow Medicine, MN",1
1270,"Schoharie, NY",1
1271,"Delaware, OK",1
1272,"Columbia, FL",1
1273,"Polk, OR",1
1274,"Douglas, MN",1
1275,"Goodhue, MN",1
1276,"Lauderdale, TN",1
1277,"Putnam, IN",1
1278,"Socorro, NM",1
1279,"Sioux, ND",1
1280,"Carson, NV",1
1281,"Isanti, MN",1
1282,"Surry, NC",1
1283,"Haskell, OK",1
1284,"Navarro, TX",1
1285,"Montgomery, IN",1
1286,"Clinton, OH",1
1287,"Van Wert, OH",1
1288,"Traill, ND",1
1289,"St. Bernard, LA",1
1290,"Pulaski, IL",1
1291,"Sunflower, MS",1
1292,"Randolph, GA",1
1293,"Pulaski, VA",1
1294,"Cherokee, NC",1
1295,"Bladen, NC",1
1296,"Buena Vista, VA",1
1297,"Marshall, WV",1
1298,"Mccracken, KY",1
1299,"Livingston, IL",1
1300,"Tooele, UT",1
1301,"Accomack, VA",1
1302,"Dawes, NE",1
1303,"Peach, GA",1
1304,"Columbia, GA",1
1305,"Goshen, WY",1
1306,"Henry, TN",1
1307,"Cloud, KS",1
1308,"Sawyer, WI",1
1309,"Essex, NY",1
1310,"Greene, TN",1
1311,"Dickey, ND",1
1312,"Mckean, PA",1
1313,"Suwannee, FL",1
1314,"St. Mary, LA",1
1315,"Lawrence, AR",1
1316,"Richland, ND",1
1317,"Crow Wing, MN",1
1318,"Gogebic, MI",1
1319,"Trousdale, TN",1
1320,"Lyon, MN",1
1321,"Crawford, KS",1
1322,"Johnston, OK",1
1323,"Kingfisher, OK",1
1324,"Bolivar, MS",1
1325,"Douglas, WI",1
1326,"Kleberg, TX",1
1327,"Mingo, WV",1
1328,"Wharton, TX",1
1329,"Webster, LA",1
1330,"Coamo Municipio, PR",1
1331,"Rosebud, MT",1
1332,"Glacier, MT",1
1333,"Jerome, ID",1
1334,"North Slope, AK",1
1335,"Miller, MO",1
1336,"Charles, MD",1
1337,"Polk, AR",1
1338,"Transylvania, NC",1
1339,"Johnson, TX",1
1340,"Citrus, FL",1
1341,"Jones, IA",1
1342,"Franklin, NC",1
1343,"Cherokee, KS",1
1344,"Stephens, OK",1
1345,"Amherst, VA",1
1346,"Henderson, NC",1
1347,"Stafford, VA",1
1348,"Paulding, GA",1
1349,"Lewis, WA",1
1350,"Benson, ND",1
1351,"Kauai, HI",1
1352,"Indian River, FL",1
1353,"Thomas, KS",1
1354,"Allendale, SC",1
1355,"Hanover, VA",1
1356,"Dickinson, IA",1
1357,"Macoupin, IL",1
1358,"Tift, GA",1
1359,"Dodge, WI",1
1360,"Apache, AZ",1
1361,"Eddy, NM",1
1362,"Brown, MN",1
1363,"Blaine, MT",1
1364,"Hot Spring, AR",1
1365,"Forsyth, GA",1
1366,"Craven, NC",1
1367,"Reno, KS",1
1368,"Laurens, SC",1
1369,"Lake, CA",1
1370,"Taney, MO",1
1371,"Cumberland, NJ",1
1372,"Lincoln, NC",1
1373,"Lee, NC",1
1374,"Franklin, TN",1
1375,"Laporte, IN",1
1376,"Kittitas, WA",1
1377,"Boyle, KY",1
1378,"Toombs, GA",1
1379,"Buffalo, NE",1
1380,"Barbour, WV",1
1381,"Lincoln, TN",1
1382,"Sauk, WI",1
1383,"Natchitoches, LA",1
1384,"Hale, TX",1
1385,"Franklin, WA",1
1386,"N, MH",1
1387,"Marion, SC",1
1388,"Tillamook, OR",1
1389,"San Juan, NM",1
1390,"Somerset, ME",1
1391,"Linn, OR",1
1392,"Val Verde, TX",1
1393,"Elmore, AL",1
1394,"Crawford, IL",1
1395,"Roosevelt, MT",1
1396,"Roosevelt, NM",1
1397,"Franklin, GA",1
1398,"Wayne, IL",1
1399,"Custer, OK",1
1400,"Scott, KY",1
1401,"Hardin, TX",1
1402,"Chouteau, MT",1
1403,"Walton, FL",1
1404,"St. Croix Island, VI",1
1405,"Gilmer, WV",1
1406,"Clinton, IL",1
1407,"Pike, OH",1
1408,"Texas, OK",1
1409,"Venango, PA",1
1410,"Pearl River, MS",1
1411,"Caldwell, NC",1
1412,"Susquehanna, PA",1
1413,"Lamar, TX",1
1414,"Dickson, TN",1
1415,"Abbeville, SC",1
1416,"Bradford, FL",1
1417,"Pike, MS",1
1418,"Starke, IN",1
1419,"Hughes, OK",1
1420,"Adams, NE",1
1421,"Chattahoochee, GA",1
1422,"Marquette, MI",1
1423,"Pierce, WI",1
1424,"Madera, CA",1
1425,"Salem, NJ",1
1426,"Ashland, WI",1
1427,"Tate, MS",1
1428,"Person, NC",1
1429,"Steuben, IN",1
1430,"Sevier, UT",1
1431,"Somerset, PA",1
1432,"Grenada, MS",1
1433,"Vance, NC",1
1434,"Vega Baja Municipio, PR",1
1435,"Bee, TX",1
1436,"Knott, KY",1
1437,"Mcnairy, TN",1
1438,"Columbia, AR",1
1439,"Livingston, LA",1
1440,"Gibson, IN",1
1441,"Dunn, WI",1
1442,"Rutherford, NC",1
1443,"Seminole, OK",1
1444,"Brookings, SD",1
1445,"Nobles, MN",1
1446,"Northumberland, PA",1
1447,"Grant, WA",1
1448,"Dawson, MT",1
1449,"Coos, NH",1
1450,"Lafayette, MO",1
1451,"Yauco Municipio, PR",1
1452,"Mahaska, IA",1
1453,"Radford, VA",1
1454,"Rio Arriba, NM",1
1455,"Mcclain, OK",1
1456,"Oglala Lakota, SD",1
1457,"Sherman, KS",1
1458,"Seward, KS",1
1459,"Cibola, NM",1
1460,"Warren, TN",1
1461,"Coffee, TN",1
1462,"Talladega, AL",1
1463,"Hempstead, AR",1
1464,"Dale, AL",1
1465,"Otter Tail, MN",1
1466,"Bottineau, ND",1
1467,"Beaufort, NC",1
1468,"Mason, MI",1
1469,"Ware, GA",1
1470,"Oktibbeha, MS",1
1471,"Newton, MS",1
1472,"Cherokee, GA",1
1473,"Osage, MO",1
1474,"Hill, MT",1
1475,"Walker, AL",1
1476,"Gibson, TN",1
1477,"Rolette, ND",1
1478,"Darlington, SC",1
1479,"Davidson, NC",1
1480,"Ozaukee, WI",1
1481,"Creek, OK",1
1482,"Bedford, TN",1
1483,"Weakley, TN",1
1484,"Litchfield, CT",1
1485,"Simpson, MS",1
1486,"Madison, FL",1
1487,"Barnes, ND",1
1488,"Pine, MN",1
1489,"Bremer, IA",1
1490,"Lamar, GA",1
1491,"Newton, GA",1
1492,"Brewster, TX",1
1493,"Wabash, IN",1
1494,"Randolph, AR",1
1495,"Las Animas, CO",1
1496,"Montgomery, NC",1
1497,"Bourbon, KS",1
1498,"Tallapoosa, AL",1
1499,"Mcdowell, NC",1
1500,"Hardin, OH",1
1501,"Macon, AL",1
1502,"Midland, TX",1
1503,"Hancock, WV",1
1504,"Laurel, KY",1
1505,"Newberry, SC",1
1506,"Johnson, IN",1
1507,"Pratt, KS",1
